portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
optimized,6,2018-04-30,1,10.993937218999477,-0.04159653364127225,-0.046734494641809454,True
optimized,6,2018-05-31,2,62.0895918314959,-0.01771723767419764,-0.046734494641809454,True
optimized,6,2018-06-30,3,96.22104630782317,-0.0017660749107868412,-0.046734494641809454,True
optimized,6,2018-07-31,4,100.0,0.0,-0.046734494641809454,True
optimized,7,2016-03-31,0,0.0,-0.04200811278378025,-0.04200811278378025,True
optimized,7,2016-04-30,1,22.739329736760876,-0.03245574950168606,-0.04200811278378025,True
optimized,7,2016-05-31,2,100.0,0.0,-0.04200811278378025,True
optimized,8,2022-01-31,0,0.0,-0.0361084545334277,-0.0361084545334277,True
optimized,8,2022-02-28,1,49.67025128342466,-0.01817329443211302,-0.0361084545334277,True
optimized,8,2022-03-31,2,100.0,0.0,-0.0361084545334277,True
optimized,9,2026-03-31,0,0.0,-0.02775062830109487,-0.02775062830109487,True
optimized,9,2026-04-30,1,100.0,0.0,-0.02775062830109487,True
optimized,10,2021-09-30,0,0.0,-0.022545011496482026,-0.022545011496482026,True
optimized,10,2021-10-31,1,100.0,0.0,-0.022545011496482026,True
optimized,11,2017-11-30,0,0.0,-0.020774203850778883,-0.020774203850778883,True
optimized,11,2017-12-31,1,27.477673625153187,-0.015065935918437856,-0.020774203850778883,True
optimized,11,2018-01-31,2,100.0,0.0,-0.020774203850778883,True
optimized,12,2023-09-30,0,0.0,-0.020069310459732703,-0.020069310459732703,True
optimized,12,2023-10-31,1,27.828873658860186,-0.014484247407689277,-0.020069310459732703,True
optimized,12,2023-11-30,2,100.0,0.0,-0.020069310459732703,True
optimized,13,2023-05-31,0,0.0,-0.017566129467764813,-0.017566129467764813,True
optimized,13,2023-06-30,1,100.0,0.0,-0.017566129467764813,True
optimized,14,2016-09-30,0,0.0,-0.017264659653440373,-0.017264659653440373,True
optimized,14,2016-10-31,1,100.0,0.0,-0.017264659653440373,True
optimized,15,2025-04-30,0,0.0,-0.016254122024895623,-0.016254122024895623,True
optimized,15,2025-05-31,1,46.8627254453251,-0.008636997446820671,-0.016254122024895623,True
optimized,15,2025-06-30,2,100.0,0.0,-0.016254122024895623,True
optimized,16,2017-03-31,0,0.0,-0.014380210370198432,-0.014380210370198432,True
optimized,16,2017-04-30,1,100.0,0.0,-0.014380210370198432,True
optimized,17,2019-10-31,0,0.0,-0.012109684712587332,-0.012109684712587332,True
optimized,17,2019-11-30,1,100.0,0.0,-0.012109684712587332,True
optimized,18,2019-05-31,0,0.0,-0.011906569074727535,-0.011906569074727535,True
optimized,18,2019-06-30,1,100.0,0.0,-0.011906569074727535,True
